,Site1,Site2,Site3,Site4,Site5,Site6,Site7
2/10/2000,935,1291.5,1335.5,3495,696.5,4599,4754
2/11/2000,779,517,1728,3990.5,2881.5,4569,4577.5
2/12/2000,916.5,1336,3008,4111.5,3723.5,4158,4401.5
2/13/2000,722.5,626,384.5,2659,1112.5,3226.5,3084
2/14/2000,455.5,3546,1070,4206.5,1313,3602,4046.5
2/15/2000,2976.5,3261.5,2841,4512.5,2909,4843.5,4880
2/16/2000,1134.5,1009.5,352,2397,680,4343,2878
2/17/2000,1511,3950,2845.5,5034,5040.5,5164.5,5097
2/18/2000,4502.5,4491,4174.5,4500,4268.5,4253.5,3344.5
2/19/2000,3739,3525,3091,4158,4226,4438,4230.5
2/20/2000,1956.5,1413.5,1393.5,1506,871.5,2463.5,2465
2/21/2000,2834.5,4297,3917,3001,806.5,4173,2696
2/22/2000,485,480.5,1569.5,4355.5,1974.5,5281.5,5280.5
2/23/2000,4127.5,3414,2810,1334,850.5,2250.5,4029
2/24/2000,1868,2528.5,3567,4900,4577.5,5123.5,4852
2/25/2000,1535.5,3536,4495,5148.5,2906,5071,5353.5
2/26/2000,484,900.5,4744.5,5097,5025,5358.5,5341
2/27/2000,1818,2830.5,1134,3255,814.5,4823,5376.5
2/28/2000,2452.5,3627.5,3110.5,5588,4867,5741.5,5501
3/1/2000,4192,4745.5,3564,5738.5,5541,5802.5,5672
3/2/2000,575.5,1312.5,2530.5,5652,5399,5786,5770
3/3/2000,4915,4639.5,4637.5,2997,1555,3063,4449
3/4/2000,2002,3956,3125.5,4817.5,1800,5205,4326.5
3/5/2000,1419,2093,752.5,957,1477,1322,1459
3/6/2000,754.5,1914,5356.5,5011,2503.5,5993.5,5397
3/7/2000,1062,1744.5,3554,4876,2228,5381.5,4926
3/8/2000,3539,2397,2118,2507.5,2431.5,2753,4046.5
3/9/2000,1223.5,2572,5432.5,5071.5,4720,5709,5731
3/10/2000,2288,3063,5852.5,6146.5,6090,6253.5,6186.5
3/11/2000,2187,4007,5768,6141.5,6052,6347.5,6319
3/12/2000,5418,5606.5,5626.5,5819,5485,6223.5,5623
3/13/2000,4889,5534.5,4849,6181,5778,6212,5819.5
3/14/2000,5110.5,5150.5,4720.5,6196,6107,6274.5,6240.5
3/15/2000,6043.5,5784,5114,6066,5847,6332,6013.5
3/16/2000,4386.5,5730,3826,6100.5,6044,6447,6300
3/17/2000,6152,6025.5,6185,6658,6465.5,6671,6415.5
3/18/2000,5834,5873.5,6033,6561.5,6428,6617.5,6560.5
3/19/2000,5925.5,5293.5,5216.5,5642,5876.5,6398.5,6422.5
3/20/2000,6522.5,6223,6525,6900.5,6710,6835.5,3603
3/21/2000,6467,6244,6590,6727,6689,6364.5,5927
3/22/2000,6058,5825.5,6331.5,6828.5,6685,6922,6749
3/23/2000,5686,5562,6241,5496.5,6319,6109,6253.5
3/24/2000,5977.5,6192.5,4340,6143.5,5602,6768.5,5768.5
3/25/2000,6299,5719,5745,6492,5696,6757.5,6713
3/26/2000,6730,6193.5,5933.5,6878.5,6823.5,6960.5,6884.5
3/27/2000,3420,5270.5,6029.5,4386.5,5382.5,2392,3395
3/28/2000,6641,5483.5,2637,6873.5,5492.5,6871.5,6693.5
3/29/2000,6749.5,6388.5,3790.5,6396.5,5536,6614,6765.5
3/30/2000,7063,6722,6644,6576.5,6760.5,5003.5,5973
3/31/2000,6815.5,6636.5,7024,7279,7248.5,7212,6386.5
4/1/2000,6664.5,6199.5,6852,7240,7152,7333,6957.5
4/2/2000,6904.5,6702,6818,7086.5,6998.5,7175.5,7044.5
4/3/2000,6839,6662.5,6924.5,7232,7033,7225,7111.5
4/4/2000,6954.5,6765,7016,7288.5,7147.5,7296.5,7126.5
4/5/2000,7012,6147,6473.5,7378,6344.5,7399,7269
4/6/2000,7054,6954,7121,7386,5894.5,7450.5,7300
4/7/2000,7017,6981.5,7088,7045.5,5811.5,7304.5,7024.5
4/8/2000,5161,6955,7215.5,7520,7441.5,6901,6742
4/9/2000,5172,6971.5,6915.5,7502,7364.5,7639.5,7632.5
4/10/2000,7270.5,7112.5,7262,7564.5,7409,7590.5,7480
4/11/2000,5774.5,6003,6166.5,7633.5,7372,7684,7528.5
4/12/2000,4257,4752,6705.5,7483.5,7321,7657,7511
4/13/2000,5323,6904,3047,6658,7000,7658,7517.5
4/14/2000,3234.5,5325,5510,6447,5724.5,7628.5,7444
4/15/2000,2806,4084,5562.5,7379.5,5962,7794,7667.5
4/16/2000,3570,3079,2449.5,5160,5669.5,7763,7634
4/17/2000,1812,2642.5,606.5,3825.5,954.5,6860,7626
4/18/2000,2652,6208.5,7459.5,5623,6649.5,7867,7695.5
4/19/2000,1925,6422,6658,7854.5,7692.5,8034.5,7899.5
4/20/2000,5528.5,7220,6884.5,7947.5,7746.5,8015.5,7693
4/21/2000,7367.5,7425,5791.5,7297,3063.5,7822,7649.5
4/22/2000,2032,5378,4532.5,7899.5,4367,7758,7522.5
4/23/2000,6627,7568,7731.5,8000,7451,7989.5,7801
4/24/2000,6917.5,7584,7828.5,7993.5,7804,7992,7846.5
4/25/2000,6745,7095,7609.5,8037,7776.5,7979.5,7925.5
4/26/2000,7687.5,7490,7820,8052,7935.5,8077.5,7992
4/27/2000,5798,6266.5,7677,8113.5,7290.5,8019,7874
4/28/2000,6280,7903.5,4185.5,8058.5,4748.5,7037,7389
4/29/2000,7826.5,7802,7983.5,8395.5,8127,8237.5,7945.5
4/30/2000,8071,7869,7937,8323.5,8059,8319,8229
5/1/2000,7303.5,6719.5,7070.5,8274,7970,8359.5,8193.5
5/2/2000,7270,7839.5,7950,8258.5,7948,8257,8168.5
5/3/2000,7632.5,7906,8162.5,8285.5,7980,8176.5,8025
5/4/2000,5195,6483.5,8051,8344,7790.5,8160,8085
5/5/2000,7839,6970.5,7437.5,7742.5,3752.5,7706.5,7102
5/6/2000,3564,3762.5,6849.5,7741.5,6743.5,8149.5,8005.5
5/7/2000,3365.5,2008,6005,7154,7582,7948,7508.5
5/8/2000,6411,5618.5,7397,7696.5,6164,8014,7640.5
5/9/2000,3936.5,6681,8020,8475.5,7301,8307,8130.5
5/10/2000,3963,6979,7936.5,8439,6576.5,8462.5,8271
5/11/2000,8537.5,8403.5,8525.5,8713,8206.5,8588.5,8299
5/12/2000,6635,6875.5,7739.5,8698.5,8451.5,8711,8571.5
5/13/2000,5753,5601,8205,8622,8412,8721.5,8617
5/14/2000,5530,3190,5084.5,7391,7470,8509.5,8200.5
5/15/2000,2450.5,3205,5474.5,8312.5,7956.5,7889.5,6475.5
5/16/2000,1442,5448.5,4329.5,8668.5,8008.5,8682,8455
5/17/2000,8248,8226,5288,8551,8210.5,8532.5,8386
5/18/2000,8375,8225,8182.5,8446.5,8154.5,8463,8328.5
5/19/2000,8524.5,8158.5,7841,7234.5,7510,7962,8144
5/20/2000,8535,8297,8274,8427.5,8122.5,8298,8129.5
5/21/2000,8575,8306,8332.5,8496,8214,8608.5,8377
5/22/2000,7641.5,7575.5,7981.5,8578.5,8251,8586.5,8303.5
5/23/2000,8521,6866.5,7542,8528.5,2865,8465.5,8221.5
5/24/2000,8437,7786,6761.5,5989.5,2299,8305,8090.5
5/25/2000,6767,7993,8332.5,8425,3546.5,7907.5,8095
5/26/2000,8583,8371.5,8521.5,8595,8349.5,8569.5,8341
5/27/2000,8718,8485,8572.5,8633,8394,8619,8460
5/28/2000,6405,8584,8415,8764,8489,8652,8477
5/29/2000,9098.5,8682.5,8844,8836,8449.5,8757.5,8562.5
5/30/2000,9078,8699.5,8909.5,9044.5,7219,8899,8670
5/31/2000,9138.5,8866.5,8860.5,9045.5,7501.5,8953,8790
6/1/2000,9045,8744,8791,8992.5,8258,8998,8754
6/2/2000,8970,8758.5,8762.5,9246,8788,9153.5,8709
6/3/2000,9132.5,8857.5,8680.5,9116,8710.5,9339,9060.5
6/4/2000,8934.5,8631.5,8755.5,9025,8693.5,9023.5,8968.5
6/5/2000,8952.5,8434.5,8766.5,9092.5,8848.5,8960,8705
6/6/2000,8943.5,8702.5,8666.5,9036.5,8668,9236.5,8840
6/7/2000,7074,7287,8380.5,8911.5,8760,8806.5,8351.5
6/8/2000,5225,5634.5,3630.5,7579,7260,8926,8598.5
6/9/2000,4548.5,8277.5,6634,8937,8681.5,8891.5,8795
6/10/2000,7285.5,8508,8450.5,8935,8562,8826,8677.5
6/11/2000,7464,7432,8645.5,8928.5,8631,8772,8747.5
6/12/2000,5442,7467,7228.5,8181.5,8425,8607,8663.5
6/13/2000,9101.5,8806,8574.5,8745.5,8443,8683.5,8586
6/14/2000,9243.5,8885,8797.5,8980,8277,8774.5,8503.5
6/15/2000,9155,8766,8682.5,8842.5,8262.5,8703.5,8529.5
6/16/2000,9190,8906.5,8598,8843,7079.5,8548.5,8273
6/17/2000,9185.5,8680,8639,8483.5,6524.5,8573,8278
6/18/2000,8886,8575.5,8441,8907.5,6679.5,8566,8268.5
6/19/2000,9151,8614,8578,8878,7001,8948.5,8412
6/20/2000,9036,8850,8695.5,8743,8501,8525.5,8123.5
6/21/2000,9026.5,8747,8578.5,8593.5,7884.5,7990,8046
6/22/2000,8920,8663.5,8554.5,7386,7357,8313.5,8278
6/23/2000,8989,8626.5,8753.5,7249.5,7326,8435,8231.5
6/24/2000,9015.5,8620,8484,8881.5,8614,8685,8338
6/25/2000,8921,8511,8470.5,7601,7879.5,3511.5,4762
6/26/2000,8885,8443,8406.5,8693,8398.5,8252.5,8372.5
6/27/2000,8848.5,8496.5,8310.5,8736.5,8455,7309.5,6445.5
6/28/2000,9003.5,8367,8198,8769,8320.5,6446,5837
6/29/2000,8903,8388.5,8486.5,8745.5,8467,8370.5,8207
6/30/2000,8990.5,8788.5,8743,8945.5,7997,8853.5,8210.5
7/1/2000,8883,8510,8952,8938,7686.5,8707,8514.5
7/2/2000,8332,8540,8786,8941,8164,8939,8604
7/3/2000,7735.5,8001.5,8836,9048.5,7817.5,9163.5,8816
7/4/2000,7074,8623,8805,8977,7140,9204.5,9004
7/5/2000,4325.5,7810,8686,8977,8605,9086,8973.5
7/6/2000,7031,7684.5,8848.5,8945,8473.5,9186.5,8811.5
7/7/2000,5228.5,8126.5,8771,9101,8809.5,8752,8196.5
7/8/2000,8498.5,8681.5,8762.5,9008,7903,8553.5,7995.5
7/9/2000,8915,8686.5,8779,8670.5,7636.5,8558,8386.5
7/10/2000,8843,8496,8594,8932,7707,8752.5,8690.5
7/11/2000,8798,8557.5,8527,8830,7457.5,8851.5,8690.5
7/12/2000,8981,8498,8686.5,8846,7325.5,8836.5,8079.5
7/13/2000,8923,8607,8726.5,8852,8739,7566,6913
7/14/2000,9066.5,8620.5,8731.5,8433.5,8352.5,8298.5,6965
7/15/2000,8518,7720.5,8257.5,8145.5,8086.5,8168.5,8180
7/16/2000,7174.5,6633.5,8106,8573.5,7572.5,8715.5,8406.5
7/17/2000,8769.5,8474.5,8670.5,8957,8545.5,8723,8508
7/18/2000,8695.5,8581.5,8824,8923,8672.5,8767.5,8521.5
7/19/2000,8810.5,8698,8945.5,8848,8618,8610.5,8386.5
7/20/2000,8806.5,8555,8788,9101.5,8762.5,8622,8234
7/21/2000,8914.5,8619,8763.5,8766.5,8223,8388.5,6792.5
7/22/2000,8826,8573.5,8773.5,8367.5,7977.5,7893.5,7514.5
7/23/2000,8843,8571,8335.5,7428.5,7658.5,8099,7725
7/24/2000,8363.5,7992,8276.5,8418,8068,8275.5,8043.5
7/25/2000,8426.5,8280,8292.5,8355,8074.5,8314,8106
7/26/2000,8529.5,8351.5,8413.5,8520.5,8172.5,8358.5,7790
7/27/2000,8418.5,8413,8585.5,8586.5,8274,8530.5,8058.5
7/28/2000,8669,8396,8299,8375.5,8190,6847.5,6225.5
7/29/2000,8361.5,7985.5,8157.5,7745,6854.5,7334.5,6245
7/30/2000,8026,7222.5,7848.5,8030.5,7420.5,7858,7304.5
7/31/2000,8191.5,7984,7440,7196,6783,7386,7171.5
8/1/2000,7551,6481,5929,7502.5,7560.5,7830.5,7566.5
8/2/2000,7884.5,7282.5,6987,7191,7369,7533,6703.5
8/3/2000,7750,7545.5,7348,7911.5,7847,7946.5,7667.5
8/4/2000,7802.5,7800.5,7956.5,7725.5,7921.5,7870.5,7630
8/5/2000,7948.5,8081,8123,8388,8096.5,8122,7683.5
8/6/2000,8050.5,8010.5,8256,8290.5,8164.5,8075.5,7428.5
8/7/2000,7521.5,7878.5,8080,8361,6562.5,8149,7566
8/8/2000,7926.5,7697,8093.5,8181.5,7591,8061,7555.5
8/9/2000,7998,7868,8150.5,7198,7912,8012,7741
8/10/2000,7875.5,7784.5,8183.5,8086,7802.5,7983,7778
8/11/2000,8047,7941,8287.5,8256.5,7901.5,7938,7690.5
8/12/2000,8037.5,8012,8271,8139.5,7870.5,7634.5,7240.5
8/13/2000,8097.5,7964.5,8313,8076,7626,7590,5996
8/14/2000,8069,7947,8116.5,7579.5,7431.5,7392,6825
8/15/2000,7990.5,7941,7786.5,7111.5,7186,7257.5,6592.5
8/16/2000,7991.5,7850,7767.5,7417.5,7294.5,7144.5,6692
8/17/2000,7813.5,7754,7858.5,7729,7331.5,7195,7088
8/18/2000,7766.5,7688,8013,8137.5,7689.5,7562,7123.5
8/19/2000,7635,7588,7966.5,8244,7901.5,7900.5,7074.5
8/20/2000,7498,7493.5,7879.5,8131.5,7810,8183.5,7708.5
8/21/2000,7339,7449,7787.5,8001.5,7341.5,7823.5,7066
8/22/2000,7305,7336,7691.5,7746,7425,7386,5396.5
8/23/2000,7354,7329,7488,7570,7617.5,7325.5,6444
8/24/2000,7510.5,7460.5,7410.5,6627.5,6944.5,5425.5,5970
8/25/2000,7493,7125.5,6844.5,4684,6528,4071,5208
8/26/2000,7444.5,7226.5,7111,7236,7176.5,7151.5,7026
8/27/2000,7324.5,7107.5,7104.5,5671.5,6053,5851,3433.5
8/28/2000,7026,7033.5,6631.5,4996.5,4448,3669,4589
8/29/2000,4992,1644.5,3714.5,4635,1500,2583.5,4144
8/30/2000,5970,2063.5,6679.5,7218,4936.5,6731.5,4591
8/31/2000,4172,6139.5,5611,7225,5786,6785,6741
9/1/2000,1591,1495,4867.5,7268,7121,7487.5,5629.5
9/2/2000,2404.5,4453.5,6012.5,7316,7158.5,7444.5,7326
9/3/2000,1964,6448.5,6966,7278,7081.5,7230,7040.5
9/4/2000,2676,6771,7048,7294,7077,7352,7222
9/5/2000,6426.5,6888.5,7258.5,7541.5,7306.5,7107,7045.5
9/6/2000,6881,6871.5,7196,7358.5,7262,7249,6511
9/7/2000,6909.5,6907,7074.5,6095,5809,2905,5292
9/8/2000,6268.5,6519.5,6949.5,7106,7059.5,7257.5,7085
9/9/2000,6663.5,6597.5,6906.5,7270.5,6845,7427,7349
9/10/2000,6423.5,6554.5,7007,7253,7090,7285,6546.5
9/11/2000,6463.5,6569,6946,7173.5,7035.5,7044,6617.5
9/12/2000,6187.5,5269.5,4573.5,6443.5,6167,6787.5,6762.5
9/13/2000,4183.5,4268,5873.5,6592.5,6467,6906,6612.5
9/14/2000,2776.5,5311,6397.5,6711,6288,6829,6696.5
9/15/2000,5674,6248.5,6479,6791.5,6678.5,6685.5,6402.5
9/16/2000,6313.5,6227,6522,6567.5,6526,6572,6375
9/17/2000,6298.5,6352.5,6557,6566,6436.5,6283.5,6249
9/18/2000,6275.5,6203,6425,6609.5,6461.5,6530.5,6194.5
9/19/2000,6104.5,6120,6253.5,6163.5,5864.5,6497,6383.5
9/20/2000,6059,5974.5,6166,6425.5,5125.5,6447,6158.5
9/21/2000,5859.5,5843,6114.5,6442,975,6447.5,6226
9/22/2000,1248,3689,1876,6365,2125,6492.5,6224
9/23/2000,6180.5,6080.5,5877.5,6403.5,2958,6530.5,6440.5
9/24/2000,5797.5,5875.5,6196.5,6542.5,6370.5,6611.5,6513.5
9/25/2000,5959.5,5793.5,6139.5,6513.5,6365,6512,6255
9/26/2000,5872.5,5717,5954.5,6243.5,5937,5926.5,6026.5
9/27/2000,4541.5,5393,5881.5,5735.5,3552.5,6208,6093.5
9/28/2000,5467,5485,5672,6125.5,3926,6206.5,6043
9/29/2000,5537.5,5448,5725.5,6039,5728,6230,6064
9/30/2000,5253.5,5362,5760.5,6030,4607.5,6067,5936
10/1/2000,5452,5450,5818.5,5959.5,5642,5864,5669.5
10/2/2000,5415,5376,5631,5890.5,5304,5841.5,5746.5
10/3/2000,5277,5381.5,5632,5746.5,3840,5778.5,5538
10/4/2000,5353.5,5374.5,5551.5,5482.5,1825.5,4432.5,5545.5
10/5/2000,5402,5301,5346.5,5537.5,4552.5,5731.5,5656.5
10/6/2000,5241.5,5142.5,5320,5686,1405,5851.5,5773
10/7/2000,5179,5004.5,5182,5370,3203.5,5683,5632
10/8/2000,5120,5036.5,5233,5544,3294,5739.5,5422.5
10/9/2000,1023.5,1726.5,4869,5424,3201.5,5178,3987
10/10/2000,1647,2261,1776,4727.5,5338,5681.5,5425.5
10/11/2000,1672.5,1176,2809.5,5433.5,3821.5,4746.5,5565.5
10/12/2000,1423,4001,3182,5438,5248.5,5559,5565
10/13/2000,3893.5,4652.5,5048.5,5473.5,5401.5,5575,5517.5
10/14/2000,4551,4764,5006,5342.5,5309,5530.5,5558
10/15/2000,4313.5,4681.5,4662.5,4699,4732,5436,5434
10/16/2000,4622,4759.5,4974.5,5312,5231.5,5471.5,5454.5
10/17/2000,4385.5,4491,4929.5,5255.5,5107,5391.5,5290.5
10/18/2000,3905.5,4365.5,4241.5,2712.5,2992,2941,4332
10/19/2000,4377.5,4477.5,4747.5,5038,4272.5,4379.5,3742
10/20/2000,1119.5,3097.5,4153,4904.5,2239.5,5004.5,4954.5
10/21/2000,4525,4580,1576,4903.5,2673.5,5013.5,4156.5
10/22/2000,4578.5,4686.5,4727.5,3690,4821,1562,2755
10/23/2000,4302.5,4367.5,4516,2323.5,4087,1399.5,3180.5
10/24/2000,4169.5,4033.5,4502.5,4735,4679.5,4659,4142.5
10/25/2000,603,932.5,3961.5,4465,4767,4744.5,4406.5
10/26/2000,1779.5,792.5,698.5,3237.5,3396.5,4216,4129.5
10/27/2000,3382,4166,4293.5,3395,3000,3314,3663.5
10/28/2000,932,1011.5,3359.5,4571,3256.5,4729,4676.5
10/29/2000,2902,3218,1008.5,2190.5,776.5,4400.5,4365
10/30/2000,2076,1037,3756.5,4648,4617.5,4631,3224.5
10/31/2000,3608.5,3974,3939.5,4652.5,4609.5,4769,4725
11/1/2000,2151,2611.5,3935,4581.5,4587,4677.5,4657.5
11/2/2000,3559.5,3795.5,4073,4429,4441.5,4307,3543
11/3/2000,3753,3892,4159.5,4497,4502.5,4016,4165
11/4/2000,3518,3517,4075.5,4206.5,4391.5,4123,2918
11/5/2000,2610,3216.5,3499.5,3919.5,3135.5,3875,3995
11/6/2000,3730.5,3709,1782,3234.5,3866.5,4060.5,2718.5
11/7/2000,3057,3713.5,4006,4429.5,4477.5,4522,4451
11/8/2000,1006,3448,3925.5,4261.5,4292.5,4461,4477
11/9/2000,2333.5,3492.5,2800,4181.5,2378,4319,4285.5
11/10/2000,1332,2799,2779,4211,4000,2243,2345
11/11/2000,2660.5,3546.5,3827,4044,4233.5,4020,3710
11/12/2000,3199,3572,3830,4206,4240.5,4369.5,4360
11/13/2000,1118,1484.5,3670,4192.5,4171.5,4343.5,4295.5
11/14/2000,898.5,2222.5,3737,4141.5,4033,4072,3377
11/15/2000,1268.5,2169,3597.5,3967,4154.5,4295.5,4301.5
11/16/2000,3284,3374.5,3635.5,3969.5,3982.5,4154,4125
11/17/2000,3334,3452.5,3704.5,4029,4080.5,4177.5,4094
11/18/2000,3228.5,3315,3669,4007.5,4123.5,4148.5,4152
11/19/2000,2066,2963.5,3618,3861.5,4023,4109.5,4155.5
11/20/2000,2643.5,2769.5,3400.5,3061,2721.5,3631.5,3322
11/21/2000,1362,224.5,2217.5,3281,3636.5,2586,2424
11/22/2000,3084,2247,1161,3694.5,3549,3866,3814
11/23/2000,1602.5,1421,1847.5,3764,3822.5,3905,3855
11/24/2000,2789,2839.5,3116,3707,3441,3719.5,3595
11/25/2000,1968,688.5,2006.5,3618,3676,3804,3812.5
11/26/2000,1452,1372,1639.5,3633.5,3649.5,3777.5,3807
11/27/2000,1386.5,443.5,1270,2984.5,3567.5,3720,3730.5
11/28/2000,2280,632,2744,3576.5,3617.5,3756,3744.5
11/29/2000,262.5,2165.5,2441,3132.5,2913.5,3396.5,3692.5
11/30/2000,2128.5,2835,2741,3282,3240,3617.5,2851.5
12/1/2000,2447,2465,2106,2287,1795,2214.5,2489
12/2/2000,2710,2971,3184,3383.5,3398,3297,3165.5
12/3/2000,2038,1499,3145.5,3432,3455,3650,3625.5
12/4/2000,1979,1877,2237.5,2620.5,2321.5,3186.5,3165.5
12/5/2000,2776.5,1644,1606,3472.5,3065.5,3513,3545.5
12/6/2000,2179,1081,1788,2141,1460.5,2624,2297.5
12/7/2000,1339.5,1604,1568.5,2655.5,3053.5,2625,2755.5
12/8/2000,2393,2686.5,2644.5,3301.5,589,2297,3493.5
12/9/2000,718,1538,2826.5,2730,1835,2713.5,2729.5
12/10/2000,2402.5,879,2608,3110,2127.5,2906.5,2684
12/11/2000,566.5,805,1611.5,2202,2747.5,3042,3343
12/12/2000,2379,2485,2839.5,3265.5,3127.5,3462,3413
12/13/2000,767,727.5,2310,3346,3188,3526.5,3401.5
12/14/2000,483,541.5,1832,2761,2544,3272.5,3351
12/15/2000,2393,1215.5,2554,3273,3311.5,3265,3077.5
12/16/2000,2355.5,2765,2693.5,3371,3469,3581.5,3598
12/17/2000,2743,2874.5,593.5,3173.5,3511,3582.5,3526.5
12/18/2000,2656,2685,3077.5,3364.5,3492,3642,3683
12/19/2000,2108.5,2436.5,3068,2882.5,3472,3179,3207.5
12/20/2000,1715,2004.5,2773.5,2666.5,3218.5,3434.5,3562.5
12/21/2000,490,1805,2980.5,3438,3440,3559,3501.5
12/22/2000,1642.5,2057,2796.5,3043,3428.5,3534,3402
12/23/2000,710,1361,2525.5,3163.5,2979.5,3020.5,3114.5
12/24/2000,2291,2105.5,1284,3218,3055.5,3393.5,3143
12/25/2000,1967,1906.5,2895.5,3400,3511,3612,3574
12/26/2000,2230,2422,3202,3505.5,3597,3603.5,3527
12/27/2000,1700.5,2560.5,2445,3356,3280,3644,3543
12/28/2000,2689.5,2816,3173,3379.5,3580,3614,3606
12/29/2000,1966,2142.5,2750.5,2943.5,3410,3589,3594.5
12/30/2000,2713,2802.5,2748.5,3151.5,2742,3595,3275
12/31/2000,2241.5,2074.5,2420,3117,3133.5,3379.5,3224
1/1/2001,2443,2555,3169.5,3492,3422,2885.5,2736.5
1/2/2001,2623,2535.5,2955,3337,3559.5,3622,3543.5
1/3/2001,2595.5,2948.5,3254.5,3449,3638,3686.5,3678.5
1/4/2001,2760.5,2803.5,3243.5,3365,3597.5,3714,3730
1/5/2001,2769.5,2983.5,2921,2439.5,1344,1995,1914
1/6/2001,2220,2569.5,3072.5,3334,3410.5,3618,3592.5
1/7/2001,2087,1138.5,2587,2562,2985,2885,3116
1/8/2001,813,1382,819,1146.5,656,1341.5,2205.5
1/9/2001,1183,894.5,1322,1690,3246,1871,2229
1/10/2001,780,302.5,571.5,2423,925,3417,3570.5
1/11/2001,1288.5,815,1649,1375,2151,476,890
1/12/2001,2934.5,2985,2504.5,2098,1083.5,2343.5,3256.5
1/13/2001,303.5,2483,3243,3431,3564,3463,3565
1/14/2001,2950.5,3075.5,2656.5,3380,3629.5,3726,3818
1/15/2001,2908.5,3184.5,1783,1894.5,3480,724.5,2325.5
1/16/2001,3141.5,3271,3095,3634,3828,3655.5,3802
1/17/2001,3058.5,3299.5,3549,3845.5,3890,3895,3840
1/18/2001,1634,2669,3371.5,3532.5,3824.5,3955.5,3967
1/19/2001,3095,3019.5,2109.5,3056,2632.5,3154.5,3471.5
1/20/2001,2250.5,2052,3277,3915,3898,4045.5,4011
1/21/2001,2141,1800.5,2559.5,2984.5,3002.5,3280.5,3329.5
1/22/2001,2898,3262.5,3395.5,3525.5,3804,3796.5,4026.5
1/23/2001,1396,541,2877,3686.5,3572.5,4024,3991.5
1/24/2001,1394.5,2843.5,1261,1064.5,2497.5,3783.5,3835.5
1/25/2001,405,416,2545,3924,3699,3998,4010.5
1/26/2001,1191,1881,1800,1416,1871,2048.5,1808
1/27/2001,3456,3527.5,916.5,1824.5,3238,1492,2391.5
1/28/2001,3042,3161.5,3857,4120.5,3289,4189.5,3527.5
1/29/2001,2821,3402,3199,4185,2774.5,4284,4209.5
1/30/2001,2200.5,2639,3891,4341.5,4361.5,4478,4441.5
1/31/2001,3576,3726.5,3992.5,4310,4363,4131.5,3832
2/1/2001,2635.5,2862.5,3928.5,3995.5,4235,4424,4488.5
2/2/2001,1300,2138.5,3528,3979.5,4182,4420,4464
2/3/2001,2769,3160.5,3891,4309,4357.5,4410.5,4364
2/4/2001,3711,3745.5,4054.5,4370,4419,4512,4502.5
